,const,Hunger,Cost,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Wrap,rating
0,1,3.0,6.49,3.0,5.0,3.0,3.5,4.0,4.0,4.0,4.0,3.8
1,1,3.5,5.45,2.0,3.5,2.5,2.5,2.0,4.0,3.5,5.0,3.0
2,1,1.5,4.85,3.0,2.0,2.5,3.0,4.5,4.0,3.0,5.0,3.0
3,1,2.0,5.25,3.0,2.0,3.5,3.0,4.0,5.0,4.0,5.0,3.75
4,1,4.0,6.59,4.0,5.0,4.0,3.5,4.5,5.0,2.5,4.0,4.2
5,1,4.0,6.99,3.0,4.0,5.0,3.5,2.5,2.5,2.5,1.0,3.2
8,1,3.5,9.25,2.0,4.5,4.5,3.5,1.5,3.0,3.5,2.0,3.9
9,1,3.5,6.25,2.5,1.5,1.5,3.0,4.5,3.0,1.5,4.5,2.0
10,1,2.0,9.5,2.5,2.5,2.75,2.5,2.5,2.0,0.5,3.5,2.5
11,1,2.0,6.95,3.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,3.0
12,1,3.5,6.25,3.0,3.5,3.5,4.0,2.0,3.5,1.0,4.0,3.9
13,1,3.0,6.99,3.0,1.0,1.5,2.5,4.0,4.0,3.0,5.0,2.0
15,1,4.0,7.49,3.0,2.5,4.0,4.0,3.5,2.5,3.5,4.5,4.2
16,1,2.5,8.49,4.0,4.0,4.5,4.0,5.0,4.5,3.5,2.0,4.1
17,1,3.0,5.99,4.0,4.0,3.0,3.5,4.0,4.5,4.0,4.5,4.0
19,1,4.0,6.4,3.0,4.0,2.75,3.0,4.0,2.0,2.0,5.0,3.0
20,1,2.5,6.4,3.5,3.0,3.0,3.0,4.0,4.0,1.5,4.5,3.5
21,1,3.5,8.75,1.5,2.0,3.0,3.5,4.0,1.0,3.5,4.0,4.0
22,1,2.5,5.5,1.5,2.5,3.5,3.0,4.0,1.5,2.5,4.5,3.5
23,1,2.5,7.49,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.6
24,1,2.5,7.49,3.0,2.0,4.5,4.0,4.0,3.5,3.0,4.5,4.5
25,1,3.5,6.0,2.5,2.5,3.0,4.0,4.0,4.0,3.0,1.5,3.8
26,1,3.5,7.0,2.5,3.0,3.0,4.0,2.0,2.0,3.0,3.5,3.0
27,1,3.5,6.29,3.5,5.0,4.0,4.0,3.5,4.5,3.5,4.0,4.0
28,1,4.5,6.49,3.0,5.0,4.0,4.0,5.0,4.0,2.5,4.0,4.0
29,1,4.5,6.49,3.0,4.5,3.5,3.5,3.5,3.0,3.0,4.0,3.0
30,1,3.5,6.6,4.0,2.0,4.0,3.5,4.5,4.0,3.5,1.0,4.25
31,1,3.5,7.65,3.0,1.5,3.0,3.0,2.5,3.0,3.5,4.0,3.4
34,1,0.5,6.25,3.0,5.0,4.0,2.75,4.0,1.6,3.5,5.0,3.33333
35,1,3.0,6.25,3.5,5.0,2.5,2.5,4.0,2.7,3.5,5.0,2.5
36,1,3.75,6.25,3.0,5.0,5.0,4.5,4.0,4.0,1.5,5.0,3.0
37,1,3.0,9.5,3.0,3.0,4.0,3.0,3.5,4.5,3.5,3.5,3.2
38,1,4.0,7.84,4.0,4.0,3.5,4.0,4.5,4.0,3.5,4.5,4.0
39,1,1.0,7.89,3.0,3.5,4.5,4.0,5.0,5.0,4.5,5.0,4.2
40,1,4.0,6.99,4.0,3.0,3.5,3.0,4.0,5.0,3.0,5.0,3.5
41,1,5.0,9.5,3.0,3.0,3.5,3.0,4.0,1.0,3.0,5.0,3.0
42,1,4.0,6.99,4.0,4.5,4.0,3.5,4.0,2.5,2.0,4.0,4.2
43,1,3.0,5.99,4.0,3.5,3.5,4.0,3.5,3.5,2.0,0.5,3.9
44,1,3.5,6.95,3.0,4.0,3.5,4.0,4.0,4.0,3.5,4.5,4.1
45,1,4.0,6.95,3.0,4.5,4.0,3.0,3.0,2.0,4.0,4.5,3.0
46,1,3.5,6.5,3.75,5.0,3.0,3.0,4.5,4.5,3.5,4.5,3.25
47,1,4.5,6.95,2.0,5.0,3.5,4.0,2.5,5.0,3.5,4.0,3.75
48,1,3.0,7.65,2.0,4.0,3.0,3.0,4.0,2.0,4.0,3.0,3.5
49,1,3.0,7.3,3.0,4.5,3.5,3.0,3.0,2.0,3.5,4.5,3.5
50,1,2.5,8.59,4.0,4.5,3.5,5.0,2.5,2.0,4.0,4.0,4.3
51,1,3.5,8.59,4.5,4.5,4.0,4.5,4.0,4.0,4.0,5.0,4.5
52,1,3.5,7.99,4.0,4.0,2.0,3.0,1.5,3.0,2.5,3.0,2.5
53,1,3.0,9.99,4.0,4.5,3.5,4.0,3.0,2.0,2.5,4.0,4.0
54,1,3.5,8.25,4.0,4.5,3.5,2.5,4.5,4.5,4.0,5.0,4.0
55,1,2.5,7.95,2.5,2.5,4.0,3.5,3.0,2.5,3.0,5.0,3.3
56,1,2.0,7.95,4.0,5.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0
57,1,3.0,8.75,4.0,5.0,3.0,5.0,3.0,2.0,4.0,5.0,4.0
58,1,3.0,6.6,3.0,4.5,4.0,4.5,4.0,4.5,4.5,4.5,4.5
60,1,3.0,6.6,3.0,5.0,3.5,3.0,4.5,2.5,3.0,4.0,3.6
61,1,3.5,7.45,3.0,5.0,3.5,2.5,3.0,2.5,3.75,4.0,3.0
62,1,3.5,6.6,3.5,3.0,4.0,4.5,3.0,1.0,3.0,0.5,2.8
63,1,3.0,6.6,3.0,2.5,3.0,4.0,2.0,1.0,3.0,5.0,3.0
64,1,3.5,7.89,3.0,2.0,4.5,4.0,4.0,1.5,4.5,4.5,4.4
65,1,2.0,7.89,3.0,2.5,4.5,3.5,4.5,3.0,4.0,5.0,3.5
66,1,4.0,6.25,4.5,4.5,2.5,3.5,3.5,3.5,3.0,5.0,4.1
67,1,3.5,6.25,4.0,4.0,4.0,2.5,3.0,3.5,4.0,5.0,4.0
68,1,4.0,6.25,4.0,4.5,4.5,5.0,5.0,5.0,4.5,5.0,4.6
69,1,5.0,6.5,4.5,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.7
73,1,3.5,5.95,2.5,2.5,3.5,4.0,3.0,4.5,4.0,4.5,3.8
75,1,2.0,9.0,2.0,3.5,3.0,1.5,1.0,1.0,2.5,3.5,1.5
76,1,2.0,9.0,2.5,2.5,1.5,2.5,1.0,2.0,2.5,5.0,1.8
77,1,4.0,8.0,4.5,5.0,5.0,5.0,4.5,5.0,3.0,5.0,4.9
78,1,3.0,6.89,3.0,2.5,3.0,2.5,2.5,2.0,3.5,4.0,3.0
79,1,3.0,6.39,4.0,3.0,2.5,3.5,3.0,3.0,3.5,3.5,3.5
80,1,3.0,6.75,4.5,4.0,3.0,4.0,1.0,3.0,4.5,4.5,3.5
81,1,2.0,5.99,4.0,2.0,2.5,4.0,4.0,3.0,3.5,5.0,3.2
82,1,3.5,7.49,3.5,4.0,4.0,4.0,3.5,3.0,4.0,3.0,4.2
83,1,4.0,7.49,4.0,3.5,4.0,4.0,4.5,5.0,4.5,4.5,4.5
84,1,4.0,7.49,3.0,3.0,4.0,3.5,3.5,4.0,3.5,2.5,3.7
85,1,3.0,7.49,4.0,2.0,5.0,5.0,1.0,3.0,5.0,3.0,4.0
86,1,1.0,7.49,4.0,3.0,4.0,4.5,5.0,4.5,3.0,4.0,4.0
87,1,4.0,7.89,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.5
88,1,5.0,8.95,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
89,1,4.0,6.95,3.0,3.5,2.0,3.5,3.0,2.5,2.5,2.0,2.9
90,1,3.5,7.0,3.0,5.0,3.0,3.5,3.0,1.5,3.0,4.0,3.3
91,1,3.0,8.75,3.0,4.0,2.7,4.7,3.0,2.4,2.0,4.5,3.7
92,1,4.0,8.75,4.5,3.8,3.8,4.5,3.4,1.5,3.0,4.0,3.8
