dateofdeath,name,age,bio,causeofdeath,,
2016-01-01,Tony Lane,71,American art director (Rolling Stone), brain cancer,,
2016-01-01,Gilbert Kaplan,74,American conductor and businessman, cancer,,
2016-01-01,Brian Johns,79,"Australian company director, managing director of the Australian Broadcasting Corporation (19952000)", cancer,,
2016-01-01,Natasha Aguilar,45,"Costa Rican swimmer, silver and bronze medalist at the 1987 Pan American Games", complications of a stroke,,
2016-01-01,Fazu Aliyeva,83,Russian Avar poet and journalist, heart failure,,
2016-01-01,Mike Oxley,71,"American politician, member of the United States House of Representatives from Ohio's 4th congressional district (19812007)", lung cancer,,
2016-01-01,John Coleman Moore,92,American mathematician.,,,
2016-01-01,Jacques Deny,99,French mathematician.,,,
2016-01-01,Mark B,45,British hip-hop record producer.,,,
2016-01-01,George Alexandru,58,Romanian theater and film actor.,,,
2016-01-01,Anil Salgaocar,75,Indian executive and politician.,,,
2016-01-01,Homa Nategh,80,Iranian educator and historian.,,,
2016-01-01,Ian Pieris,82,Sri Lankan cricketer (Cambridge University Cricket Club).,,,
2016-01-01,Vilmos Zsigmond,85,"Hungarian-American cinematographer (Close Encounters of the Third Kind, The Deer Hunter, The Black Dahlia), Oscar winner (1978).",,,
2016-01-01,Antonio Carrizo,89,Argentine broadcaster.,,,
2016-01-01,Helmut Koester,89,German-born American history professor.,,,
2016-01-01,Jim Ross,89,Scottish-born Canadian ice hockey player (New York Rangers).,,,
2016-01-01,Dale Bumpers,90,"American politician, Governor of Arkansas (19711975), Senator from Arkansas (19751999).",,,
2016-01-01,Gilberto Mendes,93,Brazilian composer.,,,
2016-01-01,Lennie Bluett,96,"American actor (Gone with the Wind, Mighty Joe Young, A Star is Born).",,,
2016-01-02,Tim Francis,87,"New Zealand diplomat, Ambassador to the United States (19881991), Administrator of Tokelau (19841988)", cancer,,
2016-01-02,Frances Cress Welsing,80,American psychiatrist and author, complications from a stroke,,
2016-01-02,Ardhendu Bhushan Bardhan,91,"Indian politician, General Secretary of the Communist Party of India (19962012)", complications from a stroke,,
2016-01-02,Faris al-Zahrani,38,Saudi al-Qaeda member, execution by beheading,,
2016-01-02,Nimr al-Nimr,56,Saudi Shia religious leader, execution by beheading,,
2016-01-02,Matt Hobden,22,English cricketer (Sussex), fall,,
2016-01-02,Sabri Yirmibe_o_lu,87,"Turkish military officer, Secretary-General of the National Security Council (19881990)", kidney failure,,
2016-01-02,Brad Fuller,62,"American video game composer (Marble Madness, Tetris, Blasteroids), Director of Engineering for Atari (19931996)", pancreatic cancer,,
2016-01-02,Stanley Siegel,79,American talk show host, pneumonia,,
2016-01-02,Shigeji Kaneko,84,Japanese boxer, progressive supranuclear palsy,,
2016-01-02,Fateh Singh,51,Indian sports shooter and army officer, shot,,
2016-01-02,Gisela Mota Ocampo,33,"Mexican politician, Mayor of Temixco (2016), member of the Chamber of Deputies (20122015)", shot,,
2016-01-02,Matthiew Klinck,37,Canadian film director and producer, stabbed,,
2016-01-02,Michel Delpech,69,French singer-songwriter and actor, throat cancer,,
2016-01-02,Leonard Evans,86,Canadian politician.,,,
2016-01-02,Leonard White,99,"British television producer (The Avengers, Armchair Theatre) and actor",,,
2016-01-02,Vicente Camacho,86,"Northern Mariana Islands businessman and politician, member of the Marianas Political Status Commission",,,
2016-01-02,John Reid,87,Australian Anglican prelate,,,
2016-01-02,Marcel Barbeau,90,Canadian painter and sculptor.,,,
2016-01-02,Mieke Andela-Baur,92,"Dutch politician, member of the House of Representatives",,,
2016-01-02,Rino Salviati,93,"Italian singer, guitarist and actor",,,
2016-01-02,Maria Garbowska-Kierczy_ska,93,Polish actress.,,,
2016-01-02,Thomas Johnstone McWiggan,97,British aviation engineer.,,,
2016-01-03,Andy Maurer,67,"American football player (Atlanta Falcons, Minnesota Vikings, Denver Broncos)", cancer,,
2016-01-03,Robert H. B. Baldwin,95,American businessman (Morgan Stanley), pneumonia,,
2016-01-03,Peter Powell,83,English kite maker, stroke,,
2016-01-03,C. B. Forgotston,70,American lawyer and political blogger, suicide by gunshot,,
2016-01-03,Raghu Nandan Mandal,63,Indian politician.,,,
2016-01-03,Shankar Prasad Jaiswal,83,Indian politician.,,,
2016-01-03,Raymond W. Lessard,85,American Roman Catholic prelate,,,
2016-01-03,Leonard Berkowitz,89,American social psychologist.,,,
2016-01-03,Alberto Iniesta Jimnez,92,"Spanish Roman Catholic prelate, Auxiliary Bishop of Madrid (19721998)",,,
2016-01-03,Igor Sergun,58,"Russian military officer, Director of the GRU (since 2011)",,,
2016-01-03,Bill Plager,70,Canadian ice hockey player (St. Louis Blues).,,,
2016-01-03,Gary Flakne,81,"American politician, member of the Minnesota House of Representatives (19631973)",,,
2016-01-03,Amby Fogarty,82,"Irish footballer (Sunderland, Hartlepool, Cork Celtic) and manager (Cork Hibernians, Galway Rovers).",,,
2016-01-03,Paul Bley,83,Canadian jazz pianist.,,,
2016-01-03,Ted Stanley,84,American philanthropist and businessman (Danbury Mint).,,,
2016-01-03,Peter Naur,87,"Danish computer science pioneer, Turing Award winner",,,
2016-01-03,Klaas Bakker,89,Dutch footballer (Ajax).,,,
2016-01-03,Georg Nees,89,German academic and artist.,,,
2016-01-03,Demmus Hentze,92,"Faroese politician, Finance Minister (19751981)",,,
2016-01-03,John McDade Howell,93,American academic and university chancellor (East Carolina University).,,,
2016-01-03,Tommy Sale,97,"English rugby league player (Leigh, Widnes)",,,
2016-01-04,Maja Maranow,54,German actress (Beloved Sisters), breast cancer,,
2016-01-04,R_si__ M_rti__ Freivalds,73,Latvian computer scientist and mathematician, heart attack,,
2016-01-04,Antonio Soto Diaz,66,"Puerto Rican politician, member of the Puerto Rico Senate (20092011)", heart attack,,
2016-01-04,Jorge Lepra,73,Uruguayan diplomat and politician, heart failure,,
2016-01-04,Edhi Sunarso,83,Indonesian sculptor (Selamat Datang Monument), heart failure,,
2016-01-04,Stephen W. Bosworth,76,"American diplomat, Ambassador to South Korea (19972001)", prostate cancer,,
2016-01-04,Robert Balser,88,"American animator (Yellow Submarine, Heavy Metal, The Jackson 5ive)", respiratory failure,,
2016-01-04,Tom Allin,28,English cricketer (Warwickshire), suicide by jumping,,
2016-01-04,Andres Rodriguez,31,"Venezuelan equestrian competitor, silver medalist at the 2015 Pan American Games", traffic collision,,
2016-01-04,Leo Rucka,84,American football player (San Francisco 49ers).,,,
2016-01-04,Donald J. Parsons,93,American Episcopal prelate,,,
2016-01-04,Colin Butler,102,British entomologist.,,,
2016-01-04,S. H. Kapadia,68,"Indian judge, Chief Justice (20102012)",,,
2016-01-04,Fernando Barrachina,68,Spanish footballer (Valencia CF).,,,
2016-01-04,John Roberts,69,"Welsh footballer (Arsenal, Birmingham, Wrexham).",,,
2016-01-04,Riley Martin,69,American author and radio host. ,,,
2016-01-04,Achim Mentzel,69,German musician and television presenter.,,,
2016-01-04,Gavriel Salomon,77,Israeli educational psychologist.,,,
2016-01-04,Robert Stigwood,81,"Australian band manager (Bee Gees, Cream) and film producer (Grease, Saturday Night Fever, Evita).",,,
2016-01-04,Red Parker,84,"American football coach (The Citadel, Clemson, Ole Miss).",,,
2016-01-04,Long John Hunter,84,American blues guitarist and singer-songwriter.,,,
2016-01-04,Jan Aronsson,84,Swedish footballer.,,,
2016-01-04,Joseph Ritz,86,American author and playwright.,,,
2016-01-04,Alexander O. Shirley,88,"British Virgin Islands civil servant and cricketer, Accountant General (19671987), namesake of the A. O. Shirley Recreation Ground.",,,
2016-01-04,Frank Armitage,91,"Australian-born American painter and animator (Mary Poppins, Lady and the Tramp, The Jungle Book).",,,
2016-01-04,Michel Galabru,93,"French actor (The Judge and the Assassin, La Cage aux Folles, Belle poque).",,,
2016-01-04,Andr Turcat,94,French aviator.,,,
2016-01-04,Marjorie Pizer,95,Australian poet.,,,
2016-01-05,Elizabeth Swados,64,American composer and writer (Runaways), complications from surgery,,
2016-01-05,Tancrde Melet,32,French tightrope walker and base jumper, fall,,
2016-01-05,Mamdouh Abdel-Alim,59,Egyptian actor, heart attack,,
2016-01-05,Michael Purcell,70,Australian rugby union player.,,,
2016-01-05,Patrick Crofton,80,Canadian politician.,,,
2016-01-05,Lev Nikolayevich Korolyov,89,Russian computer scientist.,,,
2016-01-05,Rudolf Haag,93,German theoretical physicist.,,,
2016-01-05,Christine Lawrence Finney,47,"American painter and animator (Aladdin, The Lion King, Lilo & Stitch).",,,
2016-01-05,Antnio Pompo,62,Brazilian actor.,,,
2016-01-05,Alex Timpson,69,British children's rights activist.,,,
2016-01-05,Percy Freeman,70,"English footballer (Lincoln City, West Bromwich Albion, Reading).",,,
2016-01-05,Norm Wolfinger,70,American State Attorney (19852013).,,,
2016-01-05,Nicholas Caldwell,71,American R&B singer (The Whispers).,,,
2016-01-05,George MacIntyre,76,American football player and coach (Vanderbilt).,,,
2016-01-05,Jean-Paul L'Allier,77,"Canadian politician, member of the National Assembly of Quebec (19701976), Mayor of Quebec City (19892005).",,,
2016-01-05,Jay Ritchie,79,"American baseball player (Boston Red Sox, Atlanta Braves, Cincinnati Reds)",,,
2016-01-05,Bob Armstrong,82,American basketball player (Philadelphia Warriors).,,,
2016-01-05,Uche Okeke,82,Nigerian artist.,,,
2016-01-05,Anatoly Roshchin,83,"Russian heavyweight wrestler, Olympic champion (1972)",,,
2016-01-05,Agapito Robleda Castro,83,Honduran politician.,,,
2016-01-05,John Freebairn,85,"Australian politician, member of the South Australian House of Assembly for Light (19621970)",,,
2016-01-05,Albert Gubay,87,British businessman (Kwik Save).,,,
2016-01-05,Gerry O'Malley,87,Irish Gaelic footballer (Roscommon).,,,
2016-01-05,Maria Lorenza Barreneche,89,"Argentine socialite, First Lady (19831989)",,,
2016-01-05,Pierre Boulez,90,French composer and conductor.,,,
2016-01-05,Hanna-Marie Weydahl,93,Norwegian pianist.,,,
2016-01-05,Keith Thiele,94,New Zealand WW2 pilot.,,,
2016-01-06,"Pat Harrington, Jr",86,"American actor (One Day at a Time, Captain Caveman and the Teen Angels, The Inspector)", complications from a fall and Alzheimer's disease,,
2016-01-06,Nivaria Tejera,86,Cuban poet and novelist, pancreatic cancer,,
2016-01-06,"Alfredo ""Chocolate"" Armenteros",87,Cuban trumpeter, prostate cancer,,
2016-01-06,Christy O'Connor Jnr,67,Irish golfer.,,,
2016-01-06,Florence King,80,American writer.,,,
2016-01-06,Labhshankar Thakar,80,Indian author.,,,
2016-01-06,Serena Sinclair Lesley,89,American journalist.,,,
2016-01-06,Robert D. Timm,94,American politician.,,,
2016-01-06,Qian Min,100,Chinese politician.,,,
2016-01-06,Sol Polansky,89,"American diplomat, Ambassador to Bulgaria (19871990)",,,
2016-01-06,Zbigniew Zychowicz,62,"Polish politician, Marshal of West Pomeranian Voivodeship (19992000)",,,
